Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0066_H_CORO_H,0066_H_CORO_H_3D_RIGID_VTP.zip,0002_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0066_H_CORO_H,0066_H_CORO_H_3D_RIGID_VTU.zip,0002_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0028_H_ABAO_H,0028_H_ABAO_H_3D_RIGID_VTP.zip,0003_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0028_H_ABAO_H,0028_H_ABAO_H_3D_RIGID_VTU.zip,0003_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0077_H_PULM_H,0077_H_PULM_H_3D_RIGID_VTP.zip,0005_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0077_H_PULM_H,0077_H_PULM_H_3D_RIGID_VTU.zip,0005_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0029_H_ABAO_H,0029_H_ABAO_H_3D_RIGID_VTP.zip,0006_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),-,-
0029_H_ABAO_H,0029_H_ABAO_H_3D_RIGID_VTU.zip,0006_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),-,-
0054_H_PULMFON_TAT,0054_H_PULMFON_TAT_3D_RIGID_VTP.zip,0063_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0054_H_PULMFON_TAT,0054_H_PULMFON_TAT_3D_RIGID_VTU.zip,0063_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0001_H_AO_SVD,0001_H_AO_SVD_3D_RIGID_VTP.zip,0063_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,"Model of aorta on patients who have undergone the Fontan procedure without aortic reconstruction. See \url(""http://www.doi.org/10.1111/j.1747-0803.2010.00383.x"", ""paper"") for more details."
0001_H_AO_SVD,0001_H_AO_SVD_3D_RIGID_VTU.zip,0063_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0055_H_PULMFON_HLHS,0055_H_PULMFON_HLHS_3D_RIGID_VTP.zip,0064_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0055_H_PULMFON_HLHS,0055_H_PULMFON_HLHS_3D_RIGID_VTU.zip,0064_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0002_H_AO_SVD,0002_H_AO_SVD_3D_RIGID_VTP.zip,0064_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0002_H_AO_SVD,0002_H_AO_SVD_3D_RIGID_VTU.zip,0064_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0056_H_PULMFON_TAT,0056_H_PULMFON_TAT_3D_RIGID_VTP.zip,0065_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0056_H_PULMFON_TAT,0056_H_PULMFON_TAT_3D_RIGID_VTU.zip,0065_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0003_H_AO_SVD,0003_H_AO_SVD_3D_RIGID_VTP.zip,0065_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0003_H_AO_SVD,0003_H_AO_SVD_3D_RIGID_VTU.zip,0065_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
0093_A_AO_H,0093_A_AO_H_3D_RIGID_VTP.zip,0066_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0093_A_AO_H,0093_A_AO_H_3D_RIGID_VTU.zip,0066_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0094_A_AO_H,0094_A_AO_H_3D_RIGID_VTP.zip,0067_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0094_A_AO_H,0094_A_AO_H_3D_RIGID_VTU.zip,0067_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0096_A_AO_COA,0096_A_AO_COA_3D_RIGID_VTP.zip,0069_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0096_A_AO_COA,0096_A_AO_COA_3D_RIGID_VTU.zip,0069_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0097_A_AO_COA,0097_A_AO_COA_3D_RIGID_VTP.zip,0070_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0097_A_AO_COA,0097_A_AO_COA_3D_RIGID_VTU.zip,0070_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0098_A_AO_COA,0098_A_AO_COA_3D_RIGID_VTP.zip,0071_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0098_A_AO_COA,0098_A_AO_COA_3D_RIGID_VTU.zip,0071_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0099_A_AO_COA,0099_A_AO_COA_3D_RIGID_VTP.zip,0072_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0099_A_AO_COA,0099_A_AO_COA_3D_RIGID_VTU.zip,0072_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0100_A_AO_COA,0100_A_AO_COA_3D_RIGID_VTP.zip,0073_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0100_A_AO_COA,0100_A_AO_COA_3D_RIGID_VTU.zip,0073_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0101_A_AO_COA,0101_A_AO_COA_3D_RIGID_VTP.zip,0074_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Arjun Menon,-
0101_A_AO_COA,0101_A_AO_COA_3D_RIGID_VTU.zip,0074_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Arjun Menon,-
0057_H_PULMFON_TAT,0057_H_PULMFON_TAT_3D_RIGID_VTP.zip,0075_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Alison Marsden,-
0057_H_PULMFON_TAT,0057_H_PULMFON_TAT_3D_RIGID_VTU.zip,0075_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Alison Marsden,-
